time,core_T_out,core_delta_p,core_heating:power_shape_fn:integral,core_p_in,core_p_out,hx_pri_T_out,m_dot_pump,power_to_coolant,pump_head,total_power:power
0,0,0,0.00031415926535898,0,0,0,0,0,0,2000
1,300.03243461984,0.57531699130777,0.00031415926535898,1000001.1668704,1000000.5915534,299.99989134853,0.003766091678111,2.0509880892115,0.21,2000
3,300.20681935371,0.65860653482378,0.00031415926535898,1000001.6193392,1000000.9607327,300.01629714208,0.0092042027717525,12.405755277885,0.14714598308156,2000
7,300.63722299239,0.58190574683249,0.00031415926535898,1000001.9949891,1000001.4130833,300.21847054993,0.011654497429121,34.308420944138,0.041566950121719,2000
12,301.2889140946,0.18279215611983,0.00031415926535898,1000001.6717639,1000001.4889717,300.53907509737,0.0088191620438339,46.429802174831,-0.015711430171259,2000
17,301.98203008774,-0.0014022453688085,0.00031415926535898,1000001.2599747,1000001.2613769,300.78842965115,0.0052306978540093,43.111415169671,0.046899467315316,2000
22,302.71898180432,0.16037333803251,0.00031415926535898,1000002.1397551,1000001.9793818,301.23735494486,0.006561440544264,66.331947884386,0.14251526184176,2000
27,303.65563635928,0.55323285562918,0.00031415926535898,1000003.7090333,1000003.1558004,302.02289142249,0.010657887190534,117.8810216206,0.13309320531535,2000
32,304.77355657027,0.56398873776197,0.00031415926535898,1000003.9621472,1000003.3981585,302.84130492836,0.011787722781294,148.75305906987,0.047874836437284,2000
37,305.8761364008,0.22355005005375,0.00031415926535898,1000003.0334269,1000002.8098768,303.46898660719,0.009046146094891,137.79095424439,0.016339510715598,2000
42,306.9068277851,0.075446856673807,0.00031415926535898,1000002.4969208,1000002.421474,303.98157548585,0.0068204765348962,124.16553205883,0.075940313969212,2000
