time,core_T_out,core_delta_p,core_heating:power_shape_fn:integral,core_p_in,core_p_out,hx_pri_T_out,hx_sec_T_in,hx_sec_T_out,m_dot_pump,m_dot_sec,power_to_coolant,jct1:rhoEV,jct1:rhoV,jct1:rhouV,jct1:rhovV,jct1:rhowV,jct2:rhoEV,jct2:rhoV,jct2:rhouV,jct2:rhovV,jct2:rhowV,jct4:T,jct4:p,jct4:rhoEV,jct4:rhoV,jct4:rhouV,jct4:rhovV,jct4:rhowV,jct4:vel,jct6:rhoEV,jct6:rhoV,jct6:rhouV,jct6:rhovV,jct6:rhowV,jct7:rhoEV,jct7:rhoV,jct7:rhouV,jct7:rhovV,jct7:rhowV,pump:T,pump:p,pump:rhoEV,pump:rhoV,pump:rhouV,pump:rhovV,pump:rhowV,pump:vel,total_power:power
0,0,0,0.00031415926535898,0,0,0,0,0,0,0,0,14.925373134328,1.6036319441142e-05,0,0,0,14.925373134328,1.6036319441142e-05,0,0,0,300,1000000,14.925373134328,1.6036319441142e-05,0,0,0,0,14.925373134328,1.6036319441142e-05,0,0,0,14.925373134328,1.6036319441142e-05,0,0,0,300,1000000,149.25373134328,0.00016036319441142,0,0,0,0,2000
1,300.01208326159,0.15558343427256,0.00031415926535898,1000000.3254464,1000000.169863,299.99997479027,299.84608229927,299.84504925945,0.0010194994390115,0.10000013032645,0.72740323254959,14.92545971112,1.6036375066705e-05,0,0,1.3516639323857e-06,14.925294026248,1.6035633705119e-05,0,0,1.3522288168164e-06,300.00000082121,999999.99998471,14.92537318666,1.6036319397e-05,1.2983601350279e-06,5.9401051276474e-10,0,0.08096373231087,14.925070043116,1.6036124376495e-05,0,0,-1.0997475169891e-06,14.925672041764,1.6036511711349e-05,0,0,-1.0997451676305e-06,300.00000974214,1000000.073102,149.25374278251,0.00016036320092669,-1.3019147948353e-05,1.5902807348429e-21,7.9514036742147e-22,0.081185383386708,2000
3,300.18548148874,0.3991068652831,0.00031415926535898,1000001.0546608,1000000.655554,300.00147023611,299.85215920213,299.84505088868,0.0054889242898199,0.29999996621016,8.2339358523718,14.925830235056,1.6036600979616e-05,0,0,7.2773164556716e-06,14.924944785503,1.6026152009665e-05,0,0,7.27986040252e-06,300.05930770056,1000000.0003536,14.925374663664,1.6033149815984e-05,6.990771029841e-06,6.6633713044182e-09,0,0.43602001389167,14.923750151781,1.6033931787858e-05,0,0,-5.9206501879807e-06,14.926997756105,1.6037284460637e-05,0,0,-5.9209170242969e-06,300.00069022651,1000000.4604842,149.25381534153,0.00016036289930039,-6.9980312705318e-05,8.5587448298626e-21,4.2793724149313e-21,0.43638717565359,2000
7,300.61700567446,0.77045113930944,0.00031415926535898,1000002.448315,1000001.6778638,300.18254239812,299.87782762218,299.84505739262,0.012237453471551,0.69999999243267,35.747921698863,14.926398936007,1.6030764775875e-05,0,0,1.6228144489249e-05,14.924425555794,1.6002810098291e-05,0,0,1.6231610129226e-05,300.50131166088,1000000.0025389,14.925380754642,1.6009566873325e-05,1.5581460496139e-05,2.4867053839248e-08,0,0.97326057991195,14.921769341149,1.60115754226e-05,0,0,-1.3194315891978e-05,14.929016731437,1.6028915635665e-05,0,0,-1.3200395433786e-05,300.15032601133,1000001.5819764,149.25404334944,0.00016028313235564,-0.00015597391499696,1.9083384654253e-20,9.5416923271264e-21,0.97311496665091,2000
12,301.32291252096,0.65671504766215,0.00031415926535898,1000002.8846504,1000002.2279353,300.62469844827,299.91546990908,299.84506871202,0.013241191928655,0.99999998101296,63.781334930839,14.926487959943,1.6010990527677e-05,0,0,1.7563310322438e-05,14.924352992815,1.5965278101986e-05,0,0,1.7568895527131e-05,301.19015053997,1000000.0041761,14.925382095182,1.5972952116158e-05,1.686030555393e-05,3.8521268286698e-08,0,1.0555562576432,14.921482191647,1.5975615078172e-05,0,0,-1.4273092902407e-05,14.929333436193,1.6005552421301e-05,0,0,-1.4283101215035e-05,300.56273946715,1000002.2727398,149.25415949339,0.00016006331239813,-0.00016873212448825,2.0650654257945e-20,1.0325327128973e-20,1.0541586448527,2000
17,302.13366778861,0.39018769084942,0.00031415926535898,1000002.7087283,1000002.3185406,301.10198844276,299.94548712497,299.84508082423,0.010924380267546,0.99999997193607,76.368759782086,14.926296660811,1.5988011876751e-05,0,0,1.4492545954198e-05,14.924535364474,1.5922558857449e-05,0,0,1.449896118296e-05,301.95273971967,1000000.0037865,14.92537926389,1.593261202076e-05,1.3911045323692e-05,4.2483202766062e-08,0,0.87312175652934,14.922167715644,1.5937366056276e-05,0,0,-1.1773018020482e-05,14.928652499226,1.5979750032311e-05,0,0,-1.1784057902249e-05,301.01991177669,1000002.3729379,149.25414612108,0.00015982023315019,-0.00013918604337404,1.7038539593523e-20,8.5192697967617e-21,0.87089125469641,2000
22,302.9959949432,0.27882936829701,0.00031415926535898,1000002.7416187,1000002.4627894,301.6085075152,299.96859422449,299.84509396538,0.009357117808197,0.99999996998685,86.425207124438,14.926169948405,1.5963439400354e-05,0,0,1.2415213454083e-05,14.924660236348,1.5877327712641e-05,0,0,1.2422011277841e-05,302.7708979117,1000000.003467,14.92537765392,1.5889558349907e-05,1.1915626638157e-05,4.5208613627465e-08,0,0.74990834468571,14.922630616602,1.5896279925918e-05,0,0,-1.0081566694325e-05,14.928190367643,1.5952621162513e-05,0,0,-1.0093505678601e-05,301.50680083161,1000002.4585334,149.25414282793,0.00015956216068165,-0.00011922078215026,1.4595050087754e-20,7.297525043877e-21,0.74717452835277,2000
27,303.9175520798,0.32292253442574,0.00031415926535898,1000003.1561715,1000002.8332489,302.21110494097,299.98561304681,299.84510850045,0.0093408690582111,0.99999997101994,104.83334681275,14.926175385198,1.5933986056502e-05,0,0,1.2395498426032e-05,14.924665537197,1.5829190221515e-05,0,0,1.2403018281117e-05,303.67334052119,1000000.0039495,14.925377659005,1.5842338491375e-05,1.1895063751059e-05,5.1264600212871e-08,0,0.75084711928746,14.922636160047,1.5849975869595e-05,0,0,-1.0062147977806e-05,14.928191927197,1.5920816479525e-05,0,0,-1.0075988119221e-05,302.08971549884,1000002.7843318,149.25419139969,0.00015925432017864,-0.00011903234637471,1.4570627334717e-20,7.2853136673584e-21,0.74743558756328,2000
32,304.92262249309,0.38992723368574,0.00031415926535898,1000003.6230615,1000003.2331343,302.92032237126,299.99742845882,299.84512492449,0.0098484416942263,0.99999997416415,128.15933128997,14.926224457546,1.5898547530759e-05,0,0,1.3070563316107e-05,14.924629428665,1.5776994622093e-05,0,0,1.3079046635813e-05,304.66936895605,1000000.0047313,14.925378185707,1.5790546557368e-05,1.2541711278354e-05,5.81161256777e-08,0,0.79426293967179,14.922486279807,1.5798497259414e-05,0,0,-1.0607718657927e-05,14.928351500853,1.5883646315763e-05,0,0,-1.0623506740417e-05,302.78423631894,1000003.1693041,149.25425394797,0.00015888908676432,-0.00012551336230909,1.5363090857317e-20,7.6815454286583e-21,0.78994325453748,2000
37,306.00674253068,0.41134064272046,0.00031415926535898,1000003.9139156,1000003.502575,303.69666597982,300.00494536389,299.84514375569,0.010120216193319,0.99999997871381,149.72390096982,14.926251819748,1.5859083356064e-05,0,0,1.34322366508e-05,14.924610015967,1.5721089875337e-05,0,0,1.3441474928086e-05,305.74207308318,1000000.0052667,14.925378491161,1.5735145016732e-05,1.2888107932177e-05,6.2890389669372e-08,0,0.81907483924564,14.92240429298,1.5743420248308e-05,0,0,-1.0899626975586e-05,14.928440313333,1.5843101401854e-05,0,0,-1.0916677440416e-05,303.55137682713,1000003.4319873,149.25429606386,0.00015848758103364,-0.00012898068856816,1.5787495091709e-20,7.8937475458544e-21,0.81382205297703,2000
